0-1 , PLN/MWh , 111.57 , MWh , 3 465.80 , 
1-2 , PLN/MWh , 92.30 , MWh , 3 766.00 , 
2-3 , PLN/MWh , 87.36 , MWh , 4 068.90 , 
3-4 , PLN/MWh , 86.54 , MWh , 4 213.90 , 
4-5 , PLN/MWh , 87.14 , MWh , 4 118.20 , 
5-6 , PLN/MWh , 90.50 , MWh , 3 880.00 , 
6-7 , PLN/MWh , 93.89 , MWh , 3 571.10 , 
7-8 , PLN/MWh , 111.94 , MWh , 3 307.40 , 
8-9 , PLN/MWh , 115.53 , MWh , 2 914.00 , 
9-10 , PLN/MWh , 122.20 , MWh , 2 852.30 , 
10-11 , PLN/MWh , 137.96 , MWh , 3 101.00 , 
11-12 , PLN/MWh , 137.00 , MWh , 3 223.50 , 
12-13 , PLN/MWh , 137.43 , MWh , 3 240.10 , 
13-14 , PLN/MWh , 136.99 , MWh , 3 203.30 , 
14-15 , PLN/MWh , 136.99 , MWh , 3 242.20 , 
15-16 , PLN/MWh , 137.29 , MWh , 3 259.90 , 
16-17 , PLN/MWh , 143.88 , MWh , 3 365.10 , 
17-18 , PLN/MWh , 147.23 , MWh , 3 394.10 , 
18-19 , PLN/MWh , 147.32 , MWh , 3 436.50 , 
19-20 , PLN/MWh , 147.42 , MWh , 3 482.00 , 
20-21 , PLN/MWh , 144.09 , MWh , 3 393.40 , 
21-22 , PLN/MWh , 138.79 , MWh , 3 542.10 , 
22-23 , PLN/MWh , 133.76 , MWh , 3 087.80 , 
23-24 , PLN/MWh , 117.85 , MWh , 2 922.30 , 
0-1 , PLN/MWh , 111.80 , MWh , 3 088.60 , 
1-2 , PLN/MWh , 98.05 , MWh , 3 444.90 , 
2-3 , PLN/MWh , 87.95 , MWh , 3 631.60 , 
3-4 , PLN/MWh , 87.70 , MWh , 3 600.20 , 
4-5 , PLN/MWh , 91.01 , MWh , 3 544.00 , 
5-6 , PLN/MWh , 112.71 , MWh , 3 141.40 , 
6-7 , PLN/MWh , 133.86 , MWh , 2 640.80 , 
7-8 , PLN/MWh , 142.64 , MWh , 2 723.20 , 
8-9 , PLN/MWh , 142.20 , MWh , 2 669.20 , 
9-10 , PLN/MWh , 145.17 , MWh , 2 537.00 , 
10-11 , PLN/MWh , 148.22 , MWh , 2 449.10 , 
11-12 , PLN/MWh , 155.88 , MWh , 2 326.20 , 
12-13 , PLN/MWh , 158.53 , MWh , 2 327.40 , 
13-14 , PLN/MWh , 159.67 , MWh , 2 317.50 , 
14-15 , PLN/MWh , 158.55 , MWh , 2 286.90 , 
15-16 , PLN/MWh , 156.76 , MWh , 2 229.00 , 
16-17 , PLN/MWh , 180.12 , MWh , 2 763.00 , 
17-18 , PLN/MWh , 182.71 , MWh , 2 768.50 , 
18-19 , PLN/MWh , 176.26 , MWh , 2 663.60 , 
19-20 , PLN/MWh , 171.58 , MWh , 2 634.00 , 
20-21 , PLN/MWh , 163.91 , MWh , 2 298.40 , 
21-22 , PLN/MWh , 142.50 , MWh , 2 175.90 , 
22-23 , PLN/MWh , 143.14 , MWh , 3 344.10 , 
23-24 , PLN/MWh , 133.79 , MWh , 2 710.40 , 
0-1 , PLN/MWh , 136.11 , MWh , 2 481.70 , 
1-2 , PLN/MWh , 130.05 , MWh , 2 389.40 , 
2-3 , PLN/MWh , 126.89 , MWh , 2 317.20 , 
3-4 , PLN/MWh , 127.35 , MWh , 2 302.40 , 
4-5 , PLN/MWh , 131.09 , MWh , 2 491.70 , 
5-6 , PLN/MWh , 139.90 , MWh , 3 024.30 , 
6-7 , PLN/MWh , 155.66 , MWh , 3 151.20 , 
7-8 , PLN/MWh , 178.90 , MWh , 2 527.90 , 
8-9 , PLN/MWh , 185.54 , MWh , 2 990.80 , 
9-10 , PLN/MWh , 188.41 , MWh , 3 300.10 , 
10-11 , PLN/MWh , 188.51 , MWh , 3 411.90 , 
11-12 , PLN/MWh , 193.00 , MWh , 3 553.90 , 
12-13 , PLN/MWh , 193.68 , MWh , 3 570.90 , 
13-14 , PLN/MWh , 199.01 , MWh , 3 628.20 , 
14-15 , PLN/MWh , 193.40 , MWh , 3 478.90 , 
15-16 , PLN/MWh , 192.92 , MWh , 3 482.50 , 
16-17 , PLN/MWh , 212.77 , MWh , 3 929.90 , 
17-18 , PLN/MWh , 213.51 , MWh , 3 907.30 , 
18-19 , PLN/MWh , 207.73 , MWh , 3 918.60 , 
19-20 , PLN/MWh , 205.46 , MWh , 3 881.40 , 
20-21 , PLN/MWh , 189.99 , MWh , 3 533.30 , 
21-22 , PLN/MWh , 178.34 , MWh , 2 749.70 , 
22-23 , PLN/MWh , 156.52 , MWh , 4 082.10 , 
23-24 , PLN/MWh , 143.29 , MWh , 3 417.50 , 
0-1 , PLN/MWh , 143.00 , MWh , 2 642.80 , 
1-2 , PLN/MWh , 140.49 , MWh , 2 786.80 , 
2-3 , PLN/MWh , 136.62 , MWh , 2 809.50 , 
3-4 , PLN/MWh , 136.18 , MWh , 2 782.90 , 
4-5 , PLN/MWh , 136.34 , MWh , 2 845.50 , 
5-6 , PLN/MWh , 135.63 , MWh , 2 823.80 , 
6-7 , PLN/MWh , 131.61 , MWh , 2 592.70 , 
7-8 , PLN/MWh , 142.36 , MWh , 2 704.30 , 
8-9 , PLN/MWh , 143.39 , MWh , 2 537.30 , 
9-10 , PLN/MWh , 153.18 , MWh , 2 703.60 , 
10-11 , PLN/MWh , 155.23 , MWh , 3 133.10 , 
11-12 , PLN/MWh , 156.26 , MWh , 3 397.80 , 
12-13 , PLN/MWh , 156.08 , MWh , 3 510.90 , 
13-14 , PLN/MWh , 155.87 , MWh , 3 372.30 , 
14-15 , PLN/MWh , 153.99 , MWh , 3 122.60 , 
15-16 , PLN/MWh , 153.80 , MWh , 3 142.90 , 
16-17 , PLN/MWh , 169.10 , MWh , 3 663.50 , 
17-18 , PLN/MWh , 177.96 , MWh , 4 160.50 , 
18-19 , PLN/MWh , 179.74 , MWh , 4 209.50 , 
19-20 , PLN/MWh , 176.94 , MWh , 4 281.70 , 
20-21 , PLN/MWh , 171.67 , MWh , 3 835.40 , 
21-22 , PLN/MWh , 155.73 , MWh , 3 217.00 , 
22-23 , PLN/MWh , 151.20 , MWh , 2 820.30 , 
23-24 , PLN/MWh , 142.21 , MWh , 2 767.20 , 
0-1 , PLN/MWh , 147.30 , MWh , 3 128.80 , 
